FirstStage, RootNode, bat, t1113, 11333.3333333333
FirstStage, RootNode, bat, t1114, 11666.6666666667
FirstStage, RootNode, bat, t1115, 12000.0
FirstStage, RootNode, bat, t1116, 12333.3333333333
FirstStage, RootNode, bat, t1117, 12666.6666666667
FirstStage, RootNode, bat, t1118, 13000.0
FirstStage, RootNode, bat, t1119, 13333.3333333333
FirstStage, RootNode, bat, t112, 2666.6666666666706
FirstStage, RootNode, bat, t1120, 13666.666666666699
FirstStage, RootNode, bat, t1121, 14000.0
FirstStage, RootNode, bat, t1122, 14333.3333333333
FirstStage, RootNode, bat, t1123, 14666.6666666667
FirstStage, RootNode, bat, t1124, 15000.0
FirstStage, RootNode, bat, t1125, 15333.333333333298
FirstStage, RootNode, bat, t1126, 15666.6666666667
FirstStage, RootNode, bat, t1127, 16000.000000000002
FirstStage, RootNode, bat, t1128, 16333.3333333333
FirstStage, RootNode, bat, t1129, 16666.6666666667
FirstStage, RootNode, bat, t113, 3000.0
FirstStage, RootNode, bat, t1130, 17000.0
FirstStage, RootNode, bat, t1131, 17333.3333333333
FirstStage, RootNode, bat, t1132, 17666.6666666667
FirstStage, RootNode, bat, t1133, 18000.0
FirstStage, RootNode, bat, t1134, 18333.3333333333
FirstStage, RootNode, bat, t1135, 18666.6666666667
FirstStage, RootNode, bat, t1136, 19000.0
FirstStage, RootNode, bat, t1137, 19333.3333333333
FirstStage, RootNode, bat, t1138, 19666.6666666667
FirstStage, RootNode, bat, t1139, 20000.0
FirstStage, RootNode, bat, t114, 3333.33333333333
FirstStage, RootNode, bat, t1140, 19666.6666666667
FirstStage, RootNode, bat, t1141, 19333.3333333333
FirstStage, RootNode, bat, t1142, 19000.0
FirstStage, RootNode, bat, t1143, 18666.6666666667
FirstStage, RootNode, bat, t1144, 18333.3333333333
FirstStage, RootNode, bat, t1145, 18000.0
FirstStage, RootNode, bat, t1146, 17666.6666666667
FirstStage, RootNode, bat, t1147, 17333.3333333333
FirstStage, RootNode, bat, t1148, 17000.0
FirstStage, RootNode, bat, t1149, 16666.6666666667
FirstStage, RootNode, bat, t115, 3666.6666666666697
FirstStage, RootNode, bat, t1150, 16333.3333333333
FirstStage, RootNode, bat, t1151, 16000.000000000002
FirstStage, RootNode, bat, t1152, 15666.6666666667
FirstStage, RootNode, bat, t1153, 15333.333333333298
FirstStage, RootNode, bat, t1154, 15000.0
FirstStage, RootNode, bat, t1155, 14666.6666666667
FirstStage, RootNode, bat, t1156, 14333.3333333333
FirstStage, RootNode, bat, t1157, 14000.0
FirstStage, RootNode, bat, t1158, 13701.999999999998
FirstStage, RootNode, bat, t1159, 13401.0
FirstStage, RootNode, bat, t116, 4000.0000000000005
FirstStage, RootNode, bat, t1160, 13099.0
FirstStage, RootNode, bat, t1161, 12809.0
FirstStage, RootNode, bat, t1162, 12475.6666666667
FirstStage, RootNode, bat, t1163, 12142.3333333333
FirstStage, RootNode, bat, t1164, 11809.0
FirstStage, RootNode, bat, t1165, 11475.6666666667
FirstStage, RootNode, bat, t1166, 11142.3333333333
FirstStage, RootNode, bat, t1167, 10809.0
FirstStage, RootNode, bat, t1168, 10475.6666666667
FirstStage, RootNode, bat, t1169, 10142.3333333333
FirstStage, RootNode, bat, t117, 4333.33333333333
FirstStage, RootNode, bat, t1170, 10148.6666666666
FirstStage, RootNode, bat, t1171, 10482.0
FirstStage, RootNode, bat, t1172, 10815.3333333333
FirstStage, RootNode, bat, t1173, 11148.6666666666
FirstStage, RootNode, bat, t1174, 11482.0
FirstStage, RootNode, bat, t1175, 11815.3333333333
FirstStage, RootNode, bat, t1176, 12148.6666666666
FirstStage, RootNode, bat, t1177, 12482.0
FirstStage, RootNode, bat, t1178, 12815.3333333333
FirstStage, RootNode, bat, t1179, 13148.666666666599
FirstStage, RootNode, bat, t118, 4666.66666666667
FirstStage, RootNode, bat, t1180, 13482.0
FirstStage, RootNode, bat, t1181, 13815.3333333333
FirstStage, RootNode, bat, t1182, 14148.6666666666
FirstStage, RootNode, bat, t1183, 14482.0
FirstStage, RootNode, bat, t1184, 14815.3333333333
FirstStage, RootNode, bat, t1185, 14482.0
FirstStage, RootNode, bat, t1186, 14170.0
FirstStage, RootNode, bat, t1187, 13854.000000000002
FirstStage, RootNode, bat, t1188, 13520.6666666667
FirstStage, RootNode, bat, t1189, 13187.333333333298
FirstStage, RootNode, bat, t119, 5000.0
FirstStage, RootNode, bat, t1190, 12854.0
FirstStage, RootNode, bat, t1191, 12520.6666666667
FirstStage, RootNode, bat, t1192, 12187.3333333333
FirstStage, RootNode, bat, t1193, 11854.0
FirstStage, RootNode, bat, t1194, 11520.6666666667
FirstStage, RootNode, bat, t1195, 11187.3333333333
FirstStage, RootNode, bat, t1196, 10854.0
FirstStage, RootNode, bat, t1197, 10520.6666666667
FirstStage, RootNode, bat, t1198, 10187.3333333333
FirstStage, RootNode, bat, t1199, 9854.0
FirstStage, RootNode, bat, t12, 385.20000000000107
FirstStage, RootNode, bat, t120, 5333.33333333333
FirstStage, RootNode, bat, t1200, 9520.66666666667
FirstStage, RootNode, bat, t1201, 9187.33333333333
FirstStage, RootNode, bat, t1202, 8854.0
FirstStage, RootNode, bat, t1203, 8520.66666666666
FirstStage, RootNode, bat, t1204, 8187.333333333329
FirstStage, RootNode, bat, t1205, 7854.0
FirstStage, RootNode, bat, t1206, 7520.66666666667
FirstStage, RootNode, bat, t1207, 7191.66666666667
FirstStage, RootNode, bat, t1208, 6873.66666666667
FirstStage, RootNode, bat, t1209, 6540.33333333333
FirstStage, RootNode, bat, t121, 5666.66666666667
FirstStage, RootNode, bat, t1210, 6209.33333333333
FirstStage, RootNode, bat, t1211, 5876.0
FirstStage, RootNode, bat, t1212, 5542.66666666667
FirstStage, RootNode, bat, t1213, 5209.33333333333
FirstStage, RootNode, bat, t1214, 4876.0
FirstStage, RootNode, bat, t1215, 4542.66666666667
FirstStage, RootNode, bat, t1216, 4209.33333333333
FirstStage, RootNode, bat, t1217, 3881.33333333333
FirstStage, RootNode, bat, t1218, 3548.0
FirstStage, RootNode, bat, t1219, 3214.6666666666706
FirstStage, RootNode, bat, t122, 6000.0
FirstStage, RootNode, bat, t1220, 2896.66666666667
FirstStage, RootNode, bat, t1221, 2566.6666666666697
FirstStage, RootNode, bat, t1222, 2235.66666666667
FirstStage, RootNode, bat, t1223, 1902.3333333333298
FirstStage, RootNode, bat, t1224, 1569.0
FirstStage, RootNode, bat, t1225, 1239.0
FirstStage, RootNode, bat, t1226, 917.0
FirstStage, RootNode, bat, t1227, 586.0
FirstStage, RootNode, bat, t1228, 304.0
FirstStage, RootNode, bat, t1229, 0.0
FirstStage, RootNode, bat, t123, 6333.333333333331
FirstStage, RootNode, bat, t1230, 0.0
FirstStage, RootNode, bat, t1231, 0.0
FirstStage, RootNode, bat, t1232, 0.0
FirstStage, RootNode, bat, t1233, 0.0
FirstStage, RootNode, bat, t1234, 0.0
FirstStage, RootNode, bat, t1235, 0.0
FirstStage, RootNode, bat, t1236, 0.0
FirstStage, RootNode, bat, t1237, 0.0
FirstStage, RootNode, bat, t1238, 0.0
FirstStage, RootNode, bat, t1239, 0.0
FirstStage, RootNode, bat, t124, 6666.66666666667
FirstStage, RootNode, bat, t1240, 0.0
FirstStage, RootNode, bat, t1241, 0.0
FirstStage, RootNode, bat, t1242, 0.0
FirstStage, RootNode, bat, t1243, 0.0
FirstStage, RootNode, bat, t1244, 1.13686837721616e-13
FirstStage, RootNode, bat, t1245, 333.333333333333
FirstStage, RootNode, bat, t1246, 666.666666666667
FirstStage, RootNode, bat, t1247, 1000.0000000000001
FirstStage, RootNode, bat, t1248, 1333.33333333333
FirstStage, RootNode, bat, t1249, 1666.66666666667
FirstStage, RootNode, bat, t125, 7000.0
FirstStage, RootNode, bat, t1250, 2000.0000000000002
FirstStage, RootNode, bat, t1251, 2333.33333333333
FirstStage, RootNode, bat, t1252, 2666.6666666666706
FirstStage, RootNode, bat, t1253, 3000.0
FirstStage, RootNode, bat, t1254, 3333.33333333333
FirstStage, RootNode, bat, t1255, 3666.6666666666697
FirstStage, RootNode, bat, t1256, 4000.0000000000005
FirstStage, RootNode, bat, t1257, 4333.33333333333
FirstStage, RootNode, bat, t1258, 4666.66666666667
FirstStage, RootNode, bat, t1259, 5000.0
FirstStage, RootNode, bat, t126, 7333.33333333333
FirstStage, RootNode, bat, t1260, 4666.66666666667
FirstStage, RootNode, bat, t1261, 4333.33333333333
FirstStage, RootNode, bat, t1262, 4000.0000000000005
FirstStage, RootNode, bat, t1263, 3666.6666666666697
FirstStage, RootNode, bat, t1264, 3333.33333333333
FirstStage, RootNode, bat, t1265, 3000.0
FirstStage, RootNode, bat, t1266, 2666.6666666666706
FirstStage, RootNode, bat, t1267, 2333.33333333333
FirstStage, RootNode, bat, t1268, 2000.0000000000002
FirstStage, RootNode, bat, t1269, 1666.66666666667
FirstStage, RootNode, bat, t127, 7666.66666666666
FirstStage, RootNode, bat, t1270, 1333.33333333333
FirstStage, RootNode, bat, t1271, 1000.0000000000001
FirstStage, RootNode, bat, t1272, 666.666666666667
FirstStage, RootNode, bat, t1273, 333.333333333333
FirstStage, RootNode, bat, t1274, 0.0
FirstStage, RootNode, bat, t1275, 0.0
FirstStage, RootNode, bat, t1276, 0.0
FirstStage, RootNode, bat, t1277, 0.0
FirstStage, RootNode, bat, t1278, 0.0
FirstStage, RootNode, bat, t1279, 0.0
FirstStage, RootNode, bat, t128, 8000.000000000001
FirstStage, RootNode, bat, t1280, 0.0
FirstStage, RootNode, bat, t1281, 0.0
FirstStage, RootNode, bat, t1282, 0.0
FirstStage, RootNode, bat, t1283, 0.0
FirstStage, RootNode, bat, t1284, 0.0
FirstStage, RootNode, bat, t1285, 0.0
FirstStage, RootNode, bat, t1286, 0.0
FirstStage, RootNode, bat, t1287, 0.0
FirstStage, RootNode, bat, t1288, 0.0
FirstStage, RootNode, bat, t1289, 0.0
FirstStage, RootNode, bat, t129, 8333.33333333333
FirstStage, RootNode, bat, t1290, 333.333333333333
FirstStage, RootNode, bat, t1291, 333.333333333333
FirstStage, RootNode, bat, t1292, 666.666666666667
FirstStage, RootNode, bat, t1293, 1000.0000000000001
FirstStage, RootNode, bat, t1294, 1333.33333333333
FirstStage, RootNode, bat, t1295, 1666.66666666667
FirstStage, RootNode, bat, t1296, 2000.0000000000002
FirstStage, RootNode, bat, t1297, 2333.33333333333
FirstStage, RootNode, bat, t1298, 2666.6666666666706
FirstStage, RootNode, bat, t1299, 3000.0
FirstStage, RootNode, bat, t13, 51.8666666666674
FirstStage, RootNode, bat, t130, 8666.66666666666
FirstStage, RootNode, bat, t1300, 3333.33333333333
FirstStage, RootNode, bat, t1301, 3666.6666666666697
FirstStage, RootNode, bat, t1302, 4000.0000000000005
FirstStage, RootNode, bat, t1303, 4333.33333333333
FirstStage, RootNode, bat, t1304, 4666.66666666667
FirstStage, RootNode, bat, t1305, 5000.0
FirstStage, RootNode, bat, t1306, 5333.33333333333
FirstStage, RootNode, bat, t1307, 5666.66666666667
FirstStage, RootNode, bat, t1308, 6000.0
FirstStage, RootNode, bat, t1309, 6333.333333333331
FirstStage, RootNode, bat, t131, 9000.0
FirstStage, RootNode, bat, t1310, 6666.66666666667
FirstStage, RootNode, bat, t1311, 7000.0
FirstStage, RootNode, bat, t1312, 7333.33333333333
FirstStage, RootNode, bat, t1313, 7666.66666666666
FirstStage, RootNode, bat, t1314, 8000.000000000001
FirstStage, RootNode, bat, t1315, 8333.33333333333
FirstStage, RootNode, bat, t1316, 8666.66666666666
FirstStage, RootNode, bat, t1317, 9000.0
FirstStage, RootNode, bat, t1318, 9333.33333333333
FirstStage, RootNode, bat, t1319, 9666.66666666667
FirstStage, RootNode, bat, t132, 9333.33333333333
FirstStage, RootNode, bat, t1320, 9333.33333333333
FirstStage, RootNode, bat, t1321, 9000.0
FirstStage, RootNode, bat, t1322, 8666.66666666666
FirstStage, RootNode, bat, t1323, 8333.33333333333
FirstStage, RootNode, bat, t1324, 8000.000000000001
FirstStage, RootNode, bat, t1325, 7666.66666666666
FirstStage, RootNode, bat, t1326, 7333.33333333333
FirstStage, RootNode, bat, t1327, 7000.0
FirstStage, RootNode, bat, t1328, 6666.66666666667
FirstStage, RootNode, bat, t1329, 6333.333333333331
FirstStage, RootNode, bat, t133, 9666.66666666667
FirstStage, RootNode, bat, t1330, 6000.0
FirstStage, RootNode, bat, t1331, 5666.66666666667
FirstStage, RootNode, bat, t1332, 5333.33333333333
FirstStage, RootNode, bat, t1333, 5000.0
FirstStage, RootNode, bat, t1334, 4666.66666666667
FirstStage, RootNode, bat, t1335, 4333.33333333333
FirstStage, RootNode, bat, t1336, 4000.0000000000005
FirstStage, RootNode, bat, t1337, 3666.6666666666697
FirstStage, RootNode, bat, t1338, 3333.33333333333
FirstStage, RootNode, bat, t1339, 3000.0
FirstStage, RootNode, bat, t134, 10000.0
FirstStage, RootNode, bat, t1340, 2666.6666666666706
FirstStage, RootNode, bat, t1341, 2333.33333333333
FirstStage, RootNode, bat, t1342, 2000.0000000000002
FirstStage, RootNode, bat, t1343, 1666.66666666667
FirstStage, RootNode, bat, t1344, 1333.33333333333
FirstStage, RootNode, bat, t1345, 1000.0000000000001
FirstStage, RootNode, bat, t1346, 666.666666666667
FirstStage, RootNode, bat, t1347, 333.333333333333
FirstStage, RootNode, bat, t1348, 0.0
FirstStage, RootNode, bat, t1349, 0.0
FirstStage, RootNode, bat, t135, 10333.3333333333
FirstStage, RootNode, bat, t1350, 333.333333333333
FirstStage, RootNode, bat, t1351, 666.666666666667
FirstStage, RootNode, bat, t1352, 1000.0000000000001
FirstStage, RootNode, bat, t1353, 1333.33333333333
FirstStage, RootNode, bat, t1354, 1666.66666666667
FirstStage, RootNode, bat, t1355, 2000.0000000000002
FirstStage, RootNode, bat, t1356, 2333.33333333333
FirstStage, RootNode, bat, t1357, 2666.6666666666706
FirstStage, RootNode, bat, t1358, 3000.0
FirstStage, RootNode, bat, t1359, 3333.33333333333
FirstStage, RootNode, bat, t136, 10666.6666666667
FirstStage, RootNode, bat, t1360, 3666.6666666666697
FirstStage, RootNode, bat, t1361, 4000.0000000000005
FirstStage, RootNode, bat, t1362, 4333.33333333333
FirstStage, RootNode, bat, t1363, 4666.66666666667
FirstStage, RootNode, bat, t1364, 5000.0
FirstStage, RootNode, bat, t1365, 5333.33333333333
FirstStage, RootNode, bat, t1366, 5666.66666666667
FirstStage, RootNode, bat, t1367, 6000.0
FirstStage, RootNode, bat, t1368, 6333.333333333331
FirstStage, RootNode, bat, t1369, 6666.66666666667
FirstStage, RootNode, bat, t137, 11000.0
FirstStage, RootNode, bat, t1370, 7000.0
FirstStage, RootNode, bat, t1371, 7333.33333333333
FirstStage, RootNode, bat, t1372, 7666.66666666666
FirstStage, RootNode, bat, t1373, 8000.000000000001
FirstStage, RootNode, bat, t1374, 8333.33333333333
FirstStage, RootNode, bat, t1375, 8666.66666666666
FirstStage, RootNode, bat, t1376, 9000.0
FirstStage, RootNode, bat, t1377, 9333.33333333333
FirstStage, RootNode, bat, t1378, 9666.66666666667
FirstStage, RootNode, bat, t1379, 10000.0
FirstStage, RootNode, bat, t138, 11333.3333333333
FirstStage, RootNode, bat, t1380, 9666.66666666667
FirstStage, RootNode, bat, t1381, 9333.33333333333
FirstStage, RootNode, bat, t1382, 9000.0
FirstStage, RootNode, bat, t1383, 9333.33333333333
FirstStage, RootNode, bat, t1384, 9482.43333333333
FirstStage, RootNode, bat, t1385, 9293.53333333333
FirstStage, RootNode, bat, t1386, 8960.2
FirstStage, RootNode, bat, t1387, 8626.866666666658
FirstStage, RootNode, bat, t1388, 8293.53333333333
FirstStage, RootNode, bat, t1389, 7960.2
FirstStage, RootNode, bat, t139, 11666.6666666667
FirstStage, RootNode, bat, t1390, 7626.866666666661
FirstStage, RootNode, bat, t1391, 7293.53333333333
FirstStage, RootNode, bat, t1392, 6960.2
FirstStage, RootNode, bat, t1393, 6626.86666666667
FirstStage, RootNode, bat, t1394, 6293.533333333341
FirstStage, RootNode, bat, t1395, 5960.2
FirstStage, RootNode, bat, t1396, 5626.86666666667
FirstStage, RootNode, bat, t1397, 5293.53333333334
FirstStage, RootNode, bat, t1398, 4960.20000000001
FirstStage, RootNode, bat, t1399, 4626.86666666667
FirstStage, RootNode, bat, t14, 375.966666666668
FirstStage, RootNode, bat, t140, 12000.0
FirstStage, RootNode, bat, t1400, 4293.53333333334
FirstStage, RootNode, bat, t1401, 3960.20000000001
FirstStage, RootNode, bat, t1402, 3666.66666666665
FirstStage, RootNode, bat, t1403, 3333.3333333333203
FirstStage, RootNode, bat, t1404, 2999.99999999999
FirstStage, RootNode, bat, t1405, 2666.66666666666
FirstStage, RootNode, bat, t1406, 2333.33333333333
FirstStage, RootNode, bat, t1407, 2000.0000000000002
FirstStage, RootNode, bat, t1408, 1666.66666666667
FirstStage, RootNode, bat, t1409, 1333.33333333333
FirstStage, RootNode, bat, t141, 12333.3333333333
FirstStage, RootNode, bat, t1410, 1000.0000000000001
FirstStage, RootNode, bat, t1411, 666.666666666667
FirstStage, RootNode, bat, t1412, 333.333333333333
FirstStage, RootNode, bat, t1413, 0.0
FirstStage, RootNode, bat, t1414, 0.0
FirstStage, RootNode, bat, t1415, 0.0
FirstStage, RootNode, bat, t1416, 0.0
FirstStage, RootNode, bat, t1417, 0.0
FirstStage, RootNode, bat, t1418, 0.0
FirstStage, RootNode, bat, t1419, 0.0
FirstStage, RootNode, bat, t142, 12666.6666666667
FirstStage, RootNode, bat, t1420, 0.0
FirstStage, RootNode, bat, t1421, 333.333333333333
FirstStage, RootNode, bat, t1422, 343.433333333334
FirstStage, RootNode, bat, t1423, 676.766666666667
FirstStage, RootNode, bat, t1424, 1010.1
FirstStage, RootNode, bat, t1425, 1343.43333333333
FirstStage, RootNode, bat, t1426, 1676.76666666667
FirstStage, RootNode, bat, t1427, 2010.1
FirstStage, RootNode, bat, t1428, 1676.76666666667
FirstStage, RootNode, bat, t1429, 1343.43333333333
FirstStage, RootNode, bat, t143, 13000.0
FirstStage, RootNode, bat, t1430, 1010.1
FirstStage, RootNode, bat, t1431, 676.766666666667
FirstStage, RootNode, bat, t1432, 343.433333333334
FirstStage, RootNode, bat, t1433, 10.1000000000005
FirstStage, RootNode, bat, t1434, 0.0
FirstStage, RootNode, bat, t1435, 0.0
FirstStage, RootNode, bat, t1436, 0.0
FirstStage, RootNode, bat, t1437, 0.0
FirstStage, RootNode, bat, t1438, 0.0
FirstStage, RootNode, bat, t1439, 0.0
FirstStage, RootNode, bat, t144, 13333.3333333333
FirstStage, RootNode, bat, t145, 13666.666666666699
FirstStage, RootNode, bat, t146, 14000.0
FirstStage, RootNode, bat, t147, 14333.3333333333
FirstStage, RootNode, bat, t148, 14666.6666666667
FirstStage, RootNode, bat, t149, 15000.0
FirstStage, RootNode, bat, t15, 709.300000000001
FirstStage, RootNode, bat, t150, 14728.6666666667
FirstStage, RootNode, bat, t151, 15062.0
FirstStage, RootNode, bat, t152, 15395.333333333401
FirstStage, RootNode, bat, t153, 15728.6666666667
FirstStage, RootNode, bat, t154, 16062.0
FirstStage, RootNode, bat, t155, 16395.3333333334
FirstStage, RootNode, bat, t156, 16728.6666666667
FirstStage, RootNode, bat, t157, 17062.0
FirstStage, RootNode, bat, t158, 17395.3333333334
FirstStage, RootNode, bat, t159, 17728.6666666667
FirstStage, RootNode, bat, t16, 1042.63333333333
FirstStage, RootNode, bat, t160, 18062.0
FirstStage, RootNode, bat, t161, 18395.3333333333
FirstStage, RootNode, bat, t162, 18728.6666666667
FirstStage, RootNode, bat, t163, 19062.0
FirstStage, RootNode, bat, t164, 19395.3333333333
FirstStage, RootNode, bat, t165, 19107.3333333333
FirstStage, RootNode, bat, t166, 18851.3333333333
FirstStage, RootNode, bat, t167, 18563.3333333333
FirstStage, RootNode, bat, t168, 18313.3333333333
FirstStage, RootNode, bat, t169, 18032.3333333333
FirstStage, RootNode, bat, t17, 1375.96666666667
FirstStage, RootNode, bat, t170, 17782.3333333333
FirstStage, RootNode, bat, t171, 17518.3333333333
FirstStage, RootNode, bat, t172, 17251.3333333333
FirstStage, RootNode, bat, t173, 16942.3333333333
FirstStage, RootNode, bat, t174, 16609.3333333333
FirstStage, RootNode, bat, t175, 16333.3333333333
FirstStage, RootNode, bat, t176, 16000.000000000002
FirstStage, RootNode, bat, t177, 15666.6666666667
FirstStage, RootNode, bat, t178, 15333.333333333298
FirstStage, RootNode, bat, t179, 15000.0
FirstStage, RootNode, bat, t18, 1709.3000000000002
FirstStage, RootNode, bat, t180, 15333.333333333298
FirstStage, RootNode, bat, t181, 15666.6666666667
FirstStage, RootNode, bat, t182, 16000.000000000002
FirstStage, RootNode, bat, t183, 16333.3333333333
FirstStage, RootNode, bat, t184, 16666.6666666667
FirstStage, RootNode, bat, t185, 17000.0
FirstStage, RootNode, bat, t186, 17333.3333333333
FirstStage, RootNode, bat, t187, 17666.6666666667
FirstStage, RootNode, bat, t188, 18000.0
FirstStage, RootNode, bat, t189, 18333.3333333333
FirstStage, RootNode, bat, t19, 2042.63333333333
FirstStage, RootNode, bat, t190, 18666.6666666667
FirstStage, RootNode, bat, t191, 19000.0
FirstStage, RootNode, bat, t192, 19333.3333333333
FirstStage, RootNode, bat, t193, 19666.6666666667
FirstStage, RootNode, bat, t194, 20000.0
FirstStage, RootNode, bat, t195, 20000.0
FirstStage, RootNode, bat, t196, 20000.0
