t_local;t_unix;ems_68_grid_power_feed_in_w;ems_68_grid_power_delivery_w;ems_68_battery_power_supply_w;ems_68_battery_power_demand_w;ems_68_pv_power_supply_w;ems_68_user_power_demand_w;ems_68_charge_point_power_demand_w;ems_68_heatpump_power_demand_w
2021-10-18T11:15:00+02:00;1634548500;9,565825485;13,19398063;0,623487603;569,3060436;801,9952194;183,4858987;0;53,18362629
2021-10-18T11:30:00+02:00;1634549400;7,634592846;31,87739422;136,2470621;365,8853996;826,6328967;349,1119598;0;287,3695751
2021-10-18T11:45:00+02:00;1634550300;16,78516814;28,60162672;138,7822476;0;641,2771629;273,5028695;0;518,1383662
2021-10-18T12:00:00+02:00;1634551200;20,76615318;19,11047978;23,039102;286,2046054;711,5609399;261,5014415;0;169,9981144
2021-10-18T12:15:00+02:00;1634552100;37,64599744;17,68550706;7,505091973;404,312272;811,0808754;340,6961867;0;54,06263214
2021-10-18T12:30:00+02:00;1634553000;8,106198572;17,31296526;0,515006345;642,3565163;1000,725305;314,0977329;0;53,41337623
2021-10-18T12:45:00+02:00;1634553900;12,48505194;13,11980679;0,014545046;767,4979222;1084,766264;265,3854699;0;52,96394873
2021-10-18T13:00:00+02:00;1634554800;9,103516087;14,83511286;0;762,2976589;1041,519411;230,5969956;0;54,36752105
2021-10-18T13:15:00+02:00;1634555700;7,48020348;23,86829801;0;1085,886706;1297,248452;175,573411;0;52,16283888
2021-10-18T13:30:00+02:00;1634556600;4,220719986;20,80936048;0;1159,741812;1389,526338;192,7511756;0;53,68437939
2021-10-18T13:45:00+02:00;1634557500;20,4913293;29,43330561;0;1636,927342;1863,909503;182,2218252;0;53,90003733
2021-10-18T14:00:00+02:00;1634558400;63,3956513;122,4415513;0;2024,875604;2352,828198;333,6240039;0;52,71502833
2021-10-18T14:15:00+02:00;1634559300;39,04229016;62,10582943;0;2163,624032;2417,607613;223,5229123;0;53,99373364
2021-10-18T14:30:00+02:00;1634560200;18,06704751;88,91694867;0;3207,143094;3355,62003;164,9708297;0;54,35856326
2021-10-18T14:45:00+02:00;1634561100;15,77058876;60,33142541;0;2002,080538;2217,843341;206,1786064;0;53,76289223
2021-10-18T15:00:00+02:00;1634562000;43,69289208;73,05585807;0,041947637;1957,384877;2528,265358;202,8401687;0;414,3662005
2021-10-18T15:15:00+02:00;1634562900;6,129797228;57,7525088;0;2773,531444;3135,739088;193,9074064;0;203,3872373
2021-10-18T15:30:00+02:00;1634563800;25,45069001;66,6955592;0;2254,545656;2449,453761;181,7436927;0;54,20112133
2021-10-18T15:45:00+02:00;1634564700;8,552702658;53,7305907;0;1916,240433;2104,829198;178,9696666;0;54,7518578
2021-10-18T16:00:00+02:00;1634565600;6,008755431;39,88925069;0;1572,379016;1801,493694;209,7846575;0;53,00690727
2021-10-18T16:15:00+02:00;1634566500;8,953794524;37,3673054;0;1849,210036;2028,151014;153,9964918;0;54,25411551
2021-10-18T16:30:00+02:00;1634567400;0,245541111;50,21461625;0;1580,366589;1779,169663;194,9376199;0;53,33243811
2021-10-18T16:45:00+02:00;1634568300;6,0041527;30,66348937;0;534,3813779;752,9371962;189,7535894;0;53,46581368
2021-10-18T17:00:00+02:00;1634569200;20,39852662;69,21515972;467,4465725;186,6663334;554,081301;819,4769618;0;63,75242464
2021-10-18T17:15:00+02:00;1634570100;11,04428578;14,96981213;6,584948923;214,2699136;469,0210501;202,3128327;0;63,82757621
2021-10-18T17:30:00+02:00;1634571000;9,629886426;21,55346469;26,87767908;107,3300912;287,0264896;153,8146365;0;64,7199832
2021-10-18T17:45:00+02:00;1634571900;10,06414361;27,1489087;97,11895496;0;122,9080133;173,2717736;0;64,38153804
2021-10-18T18:00:00+02:00;1634572800;6,865121759;34,12416799;212,5618697;0;13,70558392;159,9961566;0;108,1199474
2021-10-18T18:15:00+02:00;1634573700;5,122743323;52,31757533;741,4632015;0;0;246,8250807;0;542,542441
2021-10-18T18:30:00+02:00;1634574600;10,47725691;58,3914172;823,5638298;0;0;326,4057444;0;545,1453553
2021-10-18T18:45:00+02:00;1634575500;4,275395997;60,68919264;791,7658409;0;0;300,1767555;0;548,0007038
2021-10-18T19:00:00+02:00;1634576400;16,24057174;61,13575672;513,0076366;0;0;252,9688139;0;288,8841232
2021-10-18T19:15:00+02:00;1634577300;0,411095865;33,95178451;296,8032361;0;0;266,6683235;0;63,602716
2021-10-18T19:30:00+02:00;1634578200;10,67293687;48,99239698;479,6108415;0;0;453,5097566;0;64,67867176
2021-10-18T19:45:00+02:00;1634579100;6,41382502;42,14790393;319,6833984;0;0;290,8896798;0;64,79295732
2021-10-18T20:00:00+02:00;1634580000;7,586175188;48,93266127;535,9039406;0;0;513,1279901;0;63,89057132
2021-10-18T20:15:00+02:00;1634580900;7,116112262;39,10215007;443,72957;0;0;412,034265;0;63,50821324
2021-10-18T20:30:00+02:00;1634581800;0,082238637;21,74655216;350,5676302;0;0;309,0237748;0;63,18324509
2021-10-18T20:45:00+02:00;1634582700;6,799330972;48,95588067;216,8088558;0;0;195,5608089;0;63,39084958
2021-10-18T21:00:00+02:00;1634583600;8,605231687;40,02695256;430,0670389;0;0;397,762144;0;63,65852486
2021-10-18T21:15:00+02:00;1634584500;8,821881033;30,19125765;421,2032002;0;0;378,6678359;0;63,92588913
2021-10-18T21:30:00+02:00;1634585400;2,911738269;35,38662277;350,4038085;0;0;318,0061946;0;65,73198105
2021-10-18T21:45:00+02:00;1634586300;3,923118204;31,38088869;295,6421115;0;0;258,7548255;0;63,36701979
2021-10-18T22:00:00+02:00;1634587200;7,649359822;47,52167241;463,5341645;0;0;202,0416931;0;317,8265887
2021-10-18T22:15:00+02:00;1634588100;7,923680671;50,35896125;658,2849394;0;0;184,8035606;0;500,0359972
2021-10-18T22:30:00+02:00;1634589000;5,743265234;23,89886948;223,3107939;0;0;177,6923723;0;63,54440422
2021-10-18T22:45:00+02:00;1634589900;0,002271205;10,33575787;210,909163;0;0;158,4864262;0;62,86754648
2021-10-18T23:00:00+02:00;1634590800;5,770152919;26,4788797;249,2508981;0;0;214,5122419;0;54,7214376
2021-10-18T23:15:00+02:00;1634591700;3,623838715;27,08367722;201,4774376;0;0;169,7810363;0;55,17529694
2021-10-18T23:30:00+02:00;1634592600;5,027781472;17,61486518;200,2746977;0;0;157,7402184;0;55,20068311
2021-10-18T23:45:00+02:00;1634593500;6,000000089;32,21176971;201,9416592;0;0;172,8907939;0;55,12046576
2021-10-19T00:00:00+02:00;1634594400;0,083470762;26,87707385;190,2392149;0;0;161,6573103;0;55,80751694
2021-10-19T00:15:00+02:00;1634595300;5,916529328;35,52436648;232,9580921;0;0;207,5043552;0;54,75214159
2021-10-19T00:30:00+02:00;1634596200;6,023071863;21,64457529;208,5607745;0;0;168,9798204;0;54,97991873
2021-10-19T00:45:00+02:00;1634597100;4,89013961;34,62574438;195,6480177;0;0;171,1827939;0;54,46978484
2021-10-19T01:00:00+02:00;1634598000;0;18,81739439;187,0238266;0;0;150,4652353;0;55,4728633
2021-10-19T01:15:00+02:00;1634598900;4,68678876;38,05855729;215,6996395;0;0;165,8573737;0;98,84364647
2021-10-19T01:30:00+02:00;1634599800;7,200000107;39,5693417;615,9588718;0;0;171,6126418;0;461,078964
2021-10-19T01:45:00+02:00;1634600700;0;23,28555705;188,5955568;0;0;155,634265;0;56,18857852
2021-10-19T02:00:00+02:00;1634601600;5,200000077;29,71139529;211,8189135;0;0;180,7945033;0;55,49380814
2021-10-19T02:15:00+02:00;1634602500;5,174277455;21,10269315;215,7399574;0;0;175,9469838;0;55,54964129
2021-10-19T02:30:00+02:00;1634603400;3,502061911;23,45980428;196,4250496;0;0;161,5212449;0;54,83840092
2021-10-19T02:45:00+02:00;1634604300;0,325229645;16,45610539;200,0094432;0;0;160,3851477;0;55,92090403
2021-10-19T03:00:00+02:00;1634605200;3,662938111;34,63748215;202,2852717;0,081372015;0;177,8739397;0;55,35248618
2021-10-19T03:15:00+02:00;1634606100;5,735493153;27,85457674;210,0273707;0,054180577;0;175,0118637;0;56,7117409
2021-10-19T03:30:00+02:00;1634607000;0,266516298;22,565535;237,5922403;0;0;205,6370056;0;54,56976703
2021-10-19T03:45:00+02:00;1634607900;3,06976667;31,30439449;206,8559284;0;0;178,6346275;0;56,54498556
2021-10-19T04:00:00+02:00;1634608800;3,863717139;31,20319682;198,5310054;0;0;170,8276523;0;54,96739179
2021-10-19T04:15:00+02:00;1634609700;2,803455122;33,00160187;198,9767496;0;0;172,9240343;0;56,29681385
2021-10-19T04:30:00+02:00;1634610600;2,796544962;48,49675564;409,7621015;0;0;354,1755524;0;116,6781597
2021-10-19T04:45:00+02:00;1634611500;5,200000077;41,03848162;667,2072263;0;0;304,4692744;0;383,118122
2021-10-19T05:00:00+02:00;1634612400;7,108705945;51,04134782;241,8797175;0;0;232,4007663;0;53,33176612
2021-10-19T05:15:00+02:00;1634613300;6,491294257;32,94283802;256,9523615;0;0;229,3063422;0;54,16982026
2021-10-19T05:30:00+02:00;1634614200;6,476943575;27,56042302;253,6626916;0;0;221,1103264;0;53,74533945
2021-10-19T05:45:00+02:00;1634615100;6,718751065;32,72215506;416,5203075;0,046945553;0;389,465325;0;52,93202348
2021-10-19T06:00:00+02:00;1634616000;1,176673129;31,35590466;472,9464994;0;0;449,5965224;0;53,53590956
